,realSum_wd,room_type,person_capacity,host_is_superhost,cleanliness_rating,guest_satisfaction_overall,bedrooms,lng,lat,realSum_we,city,distance,metro_distance,biz_type,booking_days
16709,614.31,Entire home/apt,4.0,True,8.0,100.0,1,-0.13742,51.513290000000005,,london,0.9,0.4,biz,weekdays only
16710,213.32,Private room,2.0,False,10.0,100.0,1,-0.21251,51.46236,212.61,london,7.8,0.4,one,any day
16711,698.04,Entire home/apt,4.0,False,10.0,100.0,2,-0.1244599999999999,51.5072,809.99,london,0.2,0.1,one,any day
16712,225.08,Entire home/apt,3.0,False,10.0,85.0,0,-0.05667,51.52832,224.14,london,5.4,0.1,biz,any day
16713,413.7,Entire home/apt,3.0,False,9.0,70.0,1,-0.18732,51.48553,412.29,london,4.9,0.6,multi,any day
16714,194.03,Private room,2.0,False,8.0,87.0,1,-0.18594,51.48527,193.33,london,4.8,0.7,multi,any day
16715,429.46,Entire home/apt,2.0,False,10.0,100.0,1,-0.07739,51.53771,450.15,london,4.8,1.5,one,any day
16716,135.7,Private room,2.0,False,10.0,100.0,1,-0.15238,51.4403,135.47,london,7.8,0.3,one,any day
16717,426.4,Entire home/apt,2.0,False,10.0,100.0,1,-0.16139,51.5447,425.22,london,4.7,0.6,one,any day
16718,361.96,Entire home/apt,4.0,False,10.0,100.0,1,0.00675,51.51237,360.78,london,9.3,0.2,one,any day
16719,103.48,Private room,2.0,False,8.0,80.0,1,-0.04135,51.4663,103.01,london,7.6,3.6,one,any day
16720,292.1,Private room,2.0,False,10.0,100.0,1,-0.01622,51.52996,291.4,london,8.1,0.7,one,any day
16721,792.35,Entire home/apt,6.0,False,10.0,100.0,2,-0.02719,51.50558,743.67,london,7.0,0.6,multi,any day
16722,413.93,Entire home/apt,3.0,False,10.0,95.0,2,-0.0335,51.51345,,london,6.6,1.3,one,weekdays only
16723,111.24,Private room,2.0,False,7.0,70.0,1,-0.13605,51.46072,111.01,london,5.3,0.2,one,any day
16724,206.73,Private room,2.0,False,10.0,100.0,1,-0.10786,51.46608,206.26,london,4.9,0.6,multi,any day
16725,271.41,Entire home/apt,2.0,False,9.0,88.0,0,-0.08067,51.52626,270.7,london,3.8,0.4,biz,any day
16726,248.36,Private room,2.0,False,10.0,88.0,1,-0.17679,51.49357,247.42,london,3.8,0.2,biz,any day
16727,355.61,Entire home/apt,2.0,False,10.0,100.0,0,-0.17858,51.48987,354.43,london,4.1,0.6,one,any day
16728,117.83,Private room,2.0,True,10.0,97.0,1,-0.104,51.447,117.36,london,7.0,1.9,one,any day
16729,168.16,Private room,2.0,False,10.0,100.0,1,0.00252,51.46581,167.69,london,10.2,3.9,one,any day
16730,168.16,Private room,2.0,True,9.0,93.0,1,-0.18193,51.54187,,london,5.3,0.6,biz,weekdays only
16731,378.89,Entire home/apt,4.0,False,10.0,100.0,1,-0.02426,51.49981,384.06,london,7.2,0.6,one,any day
16732,378.89,Entire home/apt,4.0,False,10.0,80.0,1,-0.02423,51.49991,371.13,london,7.2,0.6,one,any day
16733,126.77,Private room,2.0,False,9.0,82.0,1,-0.06046,51.51352,,london,4.7,0.6,biz,weekdays only
16734,126.77,Private room,2.0,False,8.0,84.0,1,-0.0607399999999999,51.5127,,london,4.7,0.7,biz,weekdays only
16735,194.03,Private room,3.0,False,8.0,85.0,1,-0.0614799999999999,51.51357,,london,4.6,0.6,biz,weekdays only
16736,361.96,Entire home/apt,2.0,False,10.0,100.0,1,-0.06132,51.53385,360.78,london,5.4,0.8,one,any day
16737,194.03,Private room,4.0,False,8.0,87.0,1,-0.1002,51.52616,,london,2.7,0.7,multi,weekdays only
16738,108.66,Private room,2.0,False,9.0,95.0,1,-0.23856,51.5055,114.77,london,7.7,0.8,multi,any day
16739,194.03,Private room,4.0,False,6.0,30.0,1,-0.09829,51.52561,206.73,london,2.8,0.6,multi,any day
16740,194.03,Private room,6.0,False,4.0,20.0,1,-0.0996399999999999,51.52616,,london,2.8,0.7,multi,weekdays only
16741,271.41,Entire home/apt,2.0,False,9.0,70.0,0,-0.16649,51.4917,,london,3.3,0.6,biz,weekdays only
16742,168.16,Private room,2.0,False,10.0,100.0,1,-0.14024,51.46269,167.69,london,5.2,0.2,one,any day
16743,131.71,Private room,2.0,False,7.0,80.0,1,-0.06037,51.51366,,london,4.7,0.6,biz,weekdays only
16744,107.48,Private room,2.0,False,8.0,85.0,1,-0.0116099999999999,51.49743,107.01,london,8.1,0.8,biz,any day
16745,599.97,Entire home/apt,4.0,False,2.0,20.0,2,-0.1502,51.54263,706.04,london,4.1,0.3,biz,any day
16746,858.2,Entire home/apt,6.0,False,9.0,100.0,3,-0.12753,51.45681,1042.36,london,5.7,0.9,biz,any day
16747,284.58,Private room,2.0,False,8.0,80.0,1,-0.12866,51.51686,283.4,london,1.0,0.2,biz,any day
16748,93.13,Private room,2.0,False,9.0,90.0,1,-0.00597,51.459140000000005,90.31,london,10.1,4.7,one,any day
16749,103.48,Private room,2.0,False,10.0,100.0,1,-0.0888299999999999,51.48052,103.01,london,4.1,1.5,one,any day
16750,196.38,Shared room,2.0,False,10.0,100.0,1,0.07039,51.4919,,london,13.9,4.7,one,weekdays only
